,model_name,train_accuracy,test_accuracy,train_precision,test_precision,train_recall,test_recall,train_f1,test_f1,coef,best_params
0,DecisionTreeClassifier,0.878257799460778,0.8830551989730424,0.5070180464050416,0.5202247191011236,0.46069755335762624,0.48891235480464623,0.48274921587344877,0.5040827436037016,,"{'preprocessor__poly__degree': 3, 'smote__k_neighbors': 5, 'smote__sampling_strategy': 0.3, 'tree__criterion': 'gini', 'tree__max_depth': 3, 'tree__min_samples_leaf': 3, 'tree__min_samples_split': 4}"
1,LogisticRegression,0.877776351264604,0.8795892169448011,0.4503007734173589,0.45280898876404496,0.4542039872869113,0.4718969555035129,0.4522439585730725,0.46215596330275227,"[[ 1.47866286e-10 -2.59939507e-09 -2.26477280e-09 -3.27285275e-08
  -9.96758074e-09  1.79163969e-09  4.10347454e-09 -4.43879222e-09
  -1.65755326e-08  4.10529280e-08 -6.68193359e-08 -1.75589652e-09
  -3.87298769e-09 -2.00704149e-09  2.19756173e-08  4.11194484e-09
  -1.80131435e-08  1.45439564e-08  1.38395265e-08 -1.48955244e-09
  -1.16556318e-09 -7.61752703e-09 -4.91512213e-08  5.47757425e-08
   2.39345818e-09 -1.25157520e-08 -7.93882465e-09 -3.45098119e-08
  -1.28156479e-08  1.44393819e-09 -1.34451503e-09  6.70188117e-08
   1.06225395e-09  4.85044816e-08 -4.80134436e-08 -9.05856968e-11
   1.00545028e-08 -5.01391094e-09 -4.64013949e-09  1.33852460e-08
  -5.01391094e-09 -7.97088270e-09  1.60863197e-07 -1.60462745e-07
   2.36221820e-08  5.10486487e-08  4.90789756e-09  1.07031283e-07
   6.67032537e-09  4.27410020e-08 -2.42725080e-07 -8.81139620e-09
   1.71209864e-08 -1.20539627e-09  4.14771469e-10 -3.79427778e-08
   1.48204933e-08 -1.65845519e-09  2.47664205e-08 -3.50941473e-08
   3.14394615e-08  4.05513818e-09  1.73194905e-08 -6.35119495e-09
  -3.71119065e-08 -1.60560960e-08 -1.55458364e-08  3.85141279e-08
   2.58350869e-09 -6.21975736e-09  8.82464442e-07  2.70756581e-05
   2.51471518e-07 -1.99860805e-05 -1.72213127e-07 -1.08709292e-06
   1.63942250e-06 -1.46759337e-06 -1.20120898e-06  2.39131961e-06
  -4.66468056e-07  1.36739222e-05 -8.38674331e-08  4.54550570e-07
  -4.85749439e-07  7.43169058e-07  4.63981050e-07 -1.47503590e-05
  -1.12980286e-05 -3.02062063e-05 -1.76977213e-05 -1.62168505e-05
   3.41034115e-06  5.01769559e-06  2.30708209e-06  2.79763580e-08
   1.47964959e-08 -1.46091497e-06  1.12391814e-06 -6.13720132e-08
  -8.64482139e-05  2.47700657e-07 -1.53385011e-06 -9.47204790e-07
   1.18938017e-07 -6.14131063e-05  3.67433756e-06 -4.65630257e-07
  -7.18705968e-07  8.41197320e-05 -9.66352829e-07 -1.72090616e-06
   5.14847264e-06  1.22616676e-07 -1.34474023e-05 -1.45976706e-06]]","{'lr__C': 1, 'lr__max_iter': 1000, 'lr__penalty': 'l2', 'preprocessor__poly__degree': 2, 'smote__k_neighbors': 3, 'smote__sampling_strategy': 0.5}"
2,KNeighborsClassifier,0.8975157273077417,0.8397946084724005,0.702663993125179,0.4606741573033708,0.5323350694444444,0.34804753820033957,0.6057537967650327,0.3965183752417795,,"{'knn__n_neighbors': 5, 'preprocessor__poly__degree': 2, 'smote__k_neighbors': 3, 'smote__sampling_strategy': 0.5}"
3,SVC,0.8969379894723328,0.8975609756097561,0.2036665711830421,0.20561797752808988,0.6225919439579685,0.6678832116788321,0.3069285560112238,0.31443298969072164,,"{'preprocessor__poly__degree': 2, 'smote__k_neighbors': 3, 'smote__sampling_strategy': 0.3, 'svc__C': 0.1}"
4,RandomForestClassifier,0.8713249454358711,0.8734274711168164,0.5247780005729017,0.5269662921348315,0.4380679100908656,0.45357833655706,0.47751857161475303,0.4875259875259875,,"{'forest__max_depth': 3, 'forest__min_samples_leaf': 3, 'forest__min_samples_split': 4, 'forest__n_estimators': 200, 'preprocessor__poly__degree': 3, 'smote__k_neighbors': 3, 'smote__sampling_strategy': 0.5}"
